name,tourism,email,phone,website,coordinates
NULL,hostel,klhostel@rocketmail.com,14334336,http://klhostel.com.np,"[85.2799772, 27.6829197]"
NULL,guest_house,NULL,NULL,NULL,"[85.3500951, 27.7006258]"
Jorpati Main Road,attraction,NULL,NULL,NULL,"[85.3726342, 27.7219112]"
NULL,hostel,NULL,NULL,NULL,"[85.3143574, 27.7159291]"
NULL,attraction,NULL,9808395336,NULL,"[85.2329982, 27.6757969]"
NULL,viewpoint,NULL,NULL,NULL,"[85.2330228, 27.6757742]"
URSTYLE Entertaintment,artwork,NULL,NULL,NULL,"[85.3352362, 27.7030162]"
Hotel Choice,hotel,ghanendra7lawyers@gmail.com,"98414509768, 4287686",NULL,"[85.284371, 27.7148532]"
NULL,guest_house,NULL,NULL,NULL,"[85.3248624, 27.7277547]"
NULL,viewpoint,NULL,NULL,NULL,"[85.5190231, 27.7307829]"
NULL,attraction,NULL,NULL,NULL,"[85.5154378, 27.731879]"
NULL,hostel,NULL,NULL,NULL,"[85.330906, 27.7051332]"
NULL,hostel,avalonhouse2009@gmail.com,97714414318,http://www.avalonhouse.com.np,"[85.3112589, 27.7187155]"
पशुपतीनाथ,attraction,NULL,NULL,NULL,"[85.3487444, 27.7105652]"
Hotel Dream City,hotel,NULL,NULL,NULL,"[85.3086564, 27.713101]"
NULL,attraction,NULL,NULL,NULL,"[85.3191063, 27.7366879]"
NULL,hotel,dipakrai178@gmail.com,+9779841867271,NULL,"[85.3082637, 27.7359505]"
NULL,hotel,b_rocker@live.com,0097714359439,NULL,"[85.3099057, 27.7312161]"
NULL,guest_house,NULL,NULL,NULL,"[85.3083417, 27.7139013]"
Trekkers Home,guest_house,NULL,NULL,NULL,"[85.3103246, 27.7143241]"
NULL,hotel,NULL,NULL,NULL,"[85.3087943, 27.7154852]"
Adventure home,hotel,NULL,NULL,NULL,"[85.3125477, 27.7153012]"
NULL,hotel,NULL,+977014266881,NULL,"[85.3073491, 27.7111435]"
NULL,artwork,NULL,NULL,NULL,"[85.3070933, 27.7036915]"
NULL,guest_house,NULL,NULL,NULL,"[85.3704618, 27.7373512]"
NULL,guest_house,NULL,NULL,NULL,"[85.2854688, 27.7120896]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3527335, 27.7107083]"
Sweet knife shop,artwork,NULL,NULL,NULL,"[85.3117706, 27.7143795]"
NULL,hostel,NULL,NULL,NULL,"[85.3082524, 27.7137194]"
Scarf of life,attraction,NULL,NULL,NULL,"[85.3122221, 27.7112735]"
NULL,hostel,NULL,NULL,NULL,"[85.3075095, 27.7166834]"
NULL,camp_site,NULL,NULL,NULL,"[85.3905858, 27.8113946]"
NULL,camp_site,NULL,NULL,NULL,"[85.3905858, 27.8115084]"
NULL,hotel,hotelwanderlustnepal@gmail.com,+97714242283,NULL,"[85.3066282, 27.7025844]"
NULL,viewpoint,NULL,NULL,NULL,"[85.4255144, 27.7630962]"
NULL,hotel,NULL,01-4254332,NULL,"[85.3125189, 27.6991212]"
NULL,museum,NULL,NULL,NULL,"[85.4158206, 27.7490441]"
NULL,hotel,hotelngudrup@gmail.com,97714916206,http://www.hotelngudrup.com,"[85.366793, 27.724291]"
Kathmandu Resort Hotel,hotel,ktmresorthotel@mos.om.np,0097714701224,NULL,"[85.3108371, 27.7152544]"
Bodhi Inn,hotel,bodhinn@gmail.com,+97714265298,NULL,"[85.3115044, 27.7117158]"
The Happily Ever After Hostel,hostel,NULL,NULL,NULL,"[85.3123003, 27.7166942]"
NULL,hostel,NULL,NULL,NULL,"[85.2969358, 27.7257267]"
NULL,apartment,NULL,NULL,NULL,"[85.3168234, 27.7455679]"
NULL,attraction,shangrilacashmere@gmail.com,+9774370776,http://shangrilacashmere.com,"[85.3540069, 27.7465803]"
NULL,artwork,NULL,NULL,NULL,"[85.3660435, 27.7178346]"
Hyumat,attraction,NULL,NULL,NULL,"[85.3039574, 27.6994087]"
NULL,hotel,newlamjung.029@gmail.com,+977-1-4362491,NULL,"[85.3097781, 27.7327275]"
NULL,guest_house,info@azizznepal.com,+97714812915,http://www.azizznepal.com,"[85.3643799, 27.7366261]"
NULL,artwork,NULL,NULL,NULL,"[85.307455, 27.7034107]"
NULL,hotel,hotelrr.pvt@gmail.com,NULL,NULL,"[85.3093797, 27.7307098]"
NULL,attraction,NULL,NULL,NULL,"[85.3290088, 27.7560092]"
NULL,hotel,NULL,NULL,NULL,"[85.3136656, 27.7345872]"
NULL,hotel,dipakrai178@gmail.com,9841867271,NULL,"[85.3070993, 27.736282]"
NULL,guest_house,NULL,NULL,NULL,"[85.362621, 27.7350666]"
NULL,guest_house,NULL,NULL,NULL,"[85.3376999, 27.7240861]"
NULL,attraction,NULL,NULL,NULL,"[85.2807383, 27.6940828]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3240979, 27.6878163]"
NULL,attraction,NULL,NULL,NULL,"[85.2855631, 27.6973407]"
NULL,attraction,NULL,NULL,NULL,"[85.3547341, 27.7296379]"
AFA iNFO,information,info@afatravels.com,+9779851091618,http://www.afatravels.com,"[85.3125051, 27.7115714]"
NULL,picnic_site,NULL,NULL,NULL,"[85.2059138, 27.667173]"
NULL,hotel,NULL,NULL,NULL,"[85.3092316, 27.7168743]"
NULL,hotel,NULL,NULL,NULL,"[85.3539747, 27.6994666]"
Navajyoti FM,artwork,NULL,NULL,NULL,"[85.3474098, 27.6829617]"
NULL,attraction,NULL,NULL,NULL,"[85.3640305, 27.7797535]"
NULL,attraction,NULL,NULL,NULL,"[85.2813053, 27.7567213]"
NULL,artwork,NULL,NULL,NULL,"[85.3741749, 27.6942799]"
NULL,hotel,NULL,014364354,NULL,"[85.3067822, 27.7359218]"
Hotel The GreatWall,hotel,NULL,NULL,NULL,"[85.3114142, 27.7134199]"
NULL,guest_house,NULL,NULL,NULL,"[85.2812275, 27.6951545]"
NULL,hotel,NULL,NULL,NULL,"[85.3094544, 27.733242]"
NULL,hostel,NULL,NULL,NULL,"[85.3183076, 27.6938767]"
NULL,information,odysseyinstitute25@gmail.com,9849652028,http://odysseyinstitute.com.np,"[85.2801289, 27.6746147]"
NULL,hostel,NULL,NULL,NULL,"[85.3474253, 27.6926698]"
NULL,hostel,NULL,NULL,NULL,"[85.3473098, 27.6925163]"
NULL,viewpoint,NULL,NULL,NULL,"[85.382832, 27.8122636]"
NULL,hotel,NULL,NULL,NULL,"[85.3101885, 27.7160951]"
NULL,attraction,NULL,NULL,NULL,"[85.3314464, 27.724969]"
NULL,hostel,NULL,NULL,NULL,"[85.329291, 27.6940761]"
NULL,guest_house,NULL,NULL,NULL,"[85.3627442, 27.7369669]"
NULL,hostel,NULL,NULL,NULL,"[85.3387317, 27.7359452]"
NULL,hostel,NULL,NULL,NULL,"[85.3456811, 27.6840514]"
NULL,hotel,NULL,NULL,NULL,"[85.3077246, 27.7025258]"
NULL,hostel,NULL,NULL,NULL,"[85.3311635, 27.6857258]"
NULL,guest_house,NULL,NULL,NULL,"[85.3422497, 27.7456264]"
NULL,guest_house,NULL,NULL,NULL,"[85.3452069, 27.7489038]"
NULL,guest_house,NULL,NULL,NULL,"[85.3696785, 27.743826]"
NULL,artwork,NULL,NULL,NULL,"[85.3252831, 27.7203044]"
NULL,hotel,NULL,NULL,NULL,"[85.3150985, 27.7393794]"
NULL,attraction,NULL,NULL,NULL,"[85.3181187, 27.7503466]"
NULL,attraction,mail@prizmadigital.com,9861288314,https://www.prizmadigital.com/,"[85.3352484, 27.7198217]"
NULL,attraction,NULL,NULL,NULL,"[85.3744119, 27.6974354]"
NULL,hotel,homessimrika@gmail.com,97714413284,NULL,"[85.312075, 27.7186426]"
NULL,artwork,NULL,NULL,NULL,"[85.316296, 27.7306599]"
NULL,hotel,NULL,9842574646,NULL,"[85.3876303, 27.7310906]"
NULL,hostel,NULL,016202022,NULL,"[85.5183286, 27.7310521]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3635561, 27.690941]"
NULL,hotel,NULL,014254849,NULL,"[85.3089238, 27.6995284]"
NULL,hostel,NULL,014476152,https://www.kmc.edu.np/,"[85.3533738, 27.6970162]"
NULL,attraction,sharmabhuahan@hotmail.com,9841265920,NULL,"[85.3230087, 27.7060516]"
NULL,attraction,NULL,NULL,NULL,"[85.3569518, 27.7840553]"
NULL,hostel,NULL,NULL,NULL,"[85.3355198, 27.6850895]"
NULL,hotel,NULL,9849266393,NULL,"[85.3366139, 27.7119982]"
Sisters Home,hotel,NULL,NULL,NULL,"[85.3106001, 27.7149996]"
NULL,artwork,NULL,NULL,NULL,"[85.3219379, 27.7024409]"
NULL,attraction,www.road2model@gmail.com,9779860712637,http://www.road2model.com,"[85.3500226, 27.689279]"
NULL,hostel,NULL,NULL,NULL,"[85.3069856, 27.7171319]"
NULL,hotel,NULL,NULL,NULL,"[85.3121594, 27.7166983]"
NULL,guest_house,sherpa.home.swoyambhu@gmail.com,0097714289174,http://www.sherpahomeswoyambhu.com,"[85.2933481, 27.7103336]"
NULL,viewpoint,NULL,NULL,NULL,"[85.277121, 27.6862255]"
NULL,guest_house,NULL,NULL,NULL,"[85.2707551, 27.6745725]"
NULL,hotel,NULL,NULL,NULL,"[85.3463501, 27.7552489]"
NULL,guest_house,NULL,NULL,NULL,"[85.4620682, 27.7278421]"
NULL,hotel,NULL,NULL,NULL,"[85.4579782, 27.7264562]"
NULL,hotel,NULL,NULL,NULL,"[85.4641999, 27.7424058]"
Cozy Corner Guesthouse,guest_house,NULL,NULL,NULL,"[85.309972, 27.714842]"
NULL,guest_house,NULL,NULL,NULL,"[85.2991558, 27.7490941]"
NULL,guest_house,NULL,985-1017030,NULL,"[85.3122311, 27.7172729]"
NULL,guest_house,NULL,NULL,NULL,"[85.3461507, 27.7213985]"
NULL,hostel,NULL,NULL,NULL,"[85.3070862, 27.717173]"
NULL,attraction,NULL,NULL,NULL,"[85.2882238, 27.7198431]"
NULL,hostel,NULL,NULL,NULL,"[85.3137503, 27.7162162]"
NULL,hotel,NULL,9849254505,NULL,"[85.2734893, 27.782656]"
NULL,attraction,NULL,NULL,NULL,"[85.2580172, 27.6368202]"
NULL,guest_house,NULL,NULL,NULL,"[85.358164, 27.7173651]"
NULL,hostel,NULL,NULL,NULL,"[85.3461979, 27.6870656]"
NULL,hotel,chhaimale.resort@gmail.com,016924909,https://www.facebook.com/chhaimaleresort,"[85.2549594, 27.586956]"
NULL,hotel,NULL,NULL,NULL,"[85.3486924, 27.735429]"
NULL,hotel,NULL,NULL,NULL,"[85.3500111, 27.7356573]"
NULL,artwork,NULL,NULL,NULL,"[85.3496642, 27.7374059]"
NULL,artwork,NULL,NULL,NULL,"[85.3496789, 27.7367188]"
NULL,hotel,NULL,NULL,NULL,"[85.3492451, 27.7356518]"
NULL,hotel,NULL,NULL,NULL,"[85.3497923, 27.7356337]"
NULL,information,NULL,NULL,NULL,"[85.3057459, 27.7300082]"
NULL,attraction,NULL,NULL,NULL,"[85.2969186, 27.76813]"
Ramechap Magar Hotel,hotel,NULL,NULL,NULL,"[85.349214, 27.7384257]"
NULL,attraction,NULL,NULL,https://www.himelectronics.com/,"[85.3249789, 27.7154193]"
NULL,hotel,NULL,NULL,NULL,"[85.3387348, 27.7077074]"
NULL,guest_house,NULL,NULL,NULL,"[85.3057993, 27.7158196]"
NULL,hotel,khanal856@gmail.com,9860089681,NULL,"[85.2874853, 27.6999083]"
Shangrila Lodge,hotel,radiusgyanu@yahoo.com,9813888179,NULL,"[85.310944, 27.7158797]"
Mohan's Tattoo Inn,artwork,NULL,NULL,NULL,"[85.3112333, 27.7143869]"
NULL,hotel,NULL,+977 984-1291703,NULL,"[85.3122041, 27.7077684]"
NULL,hostel,goldenbuddha2017@gmail.com,9841192040,NULL,"[85.3057753, 27.7105182]"
NULL,guest_house,NULL,014253844,NULL,"[85.3083369, 27.6998376]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3071905, 27.7069936]"
NULL,hotel,NULL,NULL,NULL,"[85.3189239, 27.7183528]"
NULL,hotel,NULL,NULL,NULL,"[85.3179011, 27.7064709]"
NULL,hostel,sarashostelnepal@gmail.com,9851136824,NULL,"[85.3158593, 27.7466255]"
NULL,hotel,NULL,NULL,NULL,"[85.3097847, 27.7305597]"
NULL,attraction,NULL,NULL,NULL,"[85.2974537, 27.7242385]"
NULL,guest_house,infosammunat@gmail.com,+9779813847426,https://www.facebook.com/sammunatnepal,"[85.4270962, 27.7952616]"
NULL,attraction,NULL,NULL,NULL,"[85.3217052, 27.6883076]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3499271, 27.7025328]"
NULL,guest_house,NULL,NULL,NULL,"[85.3513284, 27.7019528]"
NULL,hotel,NULL,NULL,NULL,"[85.3462856, 27.7043632]"
NULL,hotel,NULL,NULL,NULL,"[85.346709, 27.7046559]"
NULL,hotel,NULL,NULL,NULL,"[85.3507912, 27.7026056]"
NULL,hotel,NULL,NULL,NULL,"[85.3510111, 27.7019771]"
NULL,artwork,NULL,NULL,NULL,"[85.3136378, 27.7072714]"
NULL,hotel,NULL,NULL,NULL,"[85.2593588, 27.6947305]"
NULL,information,NULL,NULL,NULL,"[85.3287715, 27.7176566]"
NULL,guest_house,NULL,014365940,NULL,"[85.3119632, 27.730335]"
Rajdhani Media,artwork,NULL,NULL,NULL,"[85.3248125, 27.7355799]"
NULL,hotel,NULL,NULL,NULL,"[85.3088541, 27.7293015]"
NULL,hotel,sarashostelnepal@gmail.com,+9779851136824,NULL,"[85.3158659, 27.7465435]"
Hotel Osho Home,hotel,hoteloshohome@gmail.com,9851056875,NULL,"[85.3129362, 27.7116247]"
NULL,attraction,bhandariashish1997@gmail.com,NULL,https://www.destinationmanagementinc.com/,"[85.2946422, 27.7489803]"
Namtso Rest House,hotel,NULL,NULL,NULL,"[85.3121954, 27.712602]"
NULL,hotel,info@himalayanoasisnepal.com,97714700456,http://www.himalayanoasisnepal.com,"[85.3098588, 27.7158297]"
NULL,attraction,NULL,NULL,NULL,"[85.3451523, 27.7038262]"
NULL,information,soulhimalayatreks@gmail.com,9841482294,https://www.soulhimalayatreks.com/,"[85.3561354, 27.6990779]"
NULL,guest_house,NULL,NULL,NULL,"[85.3210189, 27.7385849]"
NULL,hostel,info@starboyshostel.com,9841100943,http://starboyshostel.com,"[85.3405197, 27.6919238]"
Green Orchid,hotel,NULL,NULL,NULL,"[85.3096897, 27.7173005]"
NULL,guest_house,NULL,NULL,NULL,"[85.3209699, 27.7386199]"
Krishna International Travels and Tours Pvt.Ltd,information,krishna@mos.com.np,"014250879, 014250877,014250875",NULL,"[85.3158643, 27.6918997]"
NULL,attraction,NULL,NULL,NULL,"[85.296755, 27.7130366]"
NULL,attraction,NULL,NULL,NULL,"[85.2999765, 27.743785]"
NULL,hostel,NULL,NULL,NULL,"[85.3316486, 27.691062]"
NULL,hostel,NULL,NULL,NULL,"[85.3067037, 27.7169077]"
NULL,attraction,NULL,NULL,NULL,"[85.3322358, 27.6841114]"
NULL,attraction,NULL,NULL,NULL,"[85.3712333, 27.7187173]"
NULL,guest_house,NULL,NULL,NULL,"[85.3111386, 27.7291474]"
NULL,hotel,NULL,NULL,NULL,"[85.34362, 27.7354867]"
NULL,hostel,NULL,NULL,NULL,"[85.3446006, 27.6994245]"
NULL,attraction,NULL,NULL,NULL,"[85.3533161, 27.6944229]"
Himalayan Travellers' Inn,hotel,NULL,977-01-4411696,NULL,"[85.311208, 27.7178787]"
NULL,viewpoint,NULL,NULL,NULL,"[85.2670797, 27.7453592]"
NULL,hostel,NULL,NULL,NULL,"[85.3354269, 27.6942013]"
NULL,guest_house,rudima.tabin@gmail.com,NULL,NULL,"[85.3586662, 27.761374]"
NULL,museum,NULL,NULL,NULL,"[85.3540242, 27.6938002]"
NULL,hostel,NULL,NULL,NULL,"[85.3082733, 27.7172585]"
NULL,attraction,NULL,NULL,NULL,"[85.3409352, 27.7464017]"
Nagpokhari,attraction,NULL,NULL,NULL,"[85.324369, 27.713488]"
NULL,information,NULL,NULL,NULL,"[85.3104935, 27.7157296]"
Flyeast Nepal,information,info@flyeastnepal.com,+9779801086542,http://www.flyeastnepal.com,"[85.3104413, 27.7158869]"
NULL,guest_house,NULL,NULL,NULL,"[85.3111241, 27.6995201]"
NULL,hotel,NULL,NULL,NULL,"[85.3109149, 27.699261]"
NULL,guest_house,NULL,NULL,NULL,"[85.2897425, 27.7329992]"
SK Khaja Ghar,hotel,NULL,9849008945,NULL,"[85.3016471, 27.7245068]"
NULL,artwork,NULL,NULL,NULL,"[85.3567416, 27.7480708]"
NULL,guest_house,NULL,NULL,NULL,"[85.2817794, 27.7247805]"
NULL,guest_house,NULL,NULL,NULL,"[85.3060132, 27.7161151]"
NULL,hotel,NULL,NULL,NULL,"[85.3092766, 27.7155356]"
Maya Boutique Hotel,hotel,NULL,NULL,NULL,"[85.3130689, 27.7120445]"
Noryang Hotel,hotel,NULL,NULL,NULL,"[85.3614795, 27.7218482]"
Sukhavati  Hotel,hotel,NULL,NULL,NULL,"[85.3622386, 27.7221741]"
Hotel Potala,hotel,hotelpotala@gmail.com,+977 1-4700680,NULL,"[85.3105149, 27.7147405]"
NULL,hotel,NULL,NULL,NULL,"[85.3535899, 27.7501507]"
Dibyadurga boy's hostel,hostel,NULL,NULL,NULL,"[85.3309887, 27.704602]"
NULL,hotel,NULL,NULL,NULL,"[85.3092669, 27.715506]"
NULL,hotel,NULL,NULL,http://www.yogainhimalaya.com,"[85.2348253, 27.6649529]"
Lord Buddha,artwork,NULL,NULL,NULL,"[85.3596658, 27.7742195]"
NULL,attraction,NULL,NULL,NULL,"[85.3296136, 27.7004289]"
NULL,artwork,NULL,NULL,NULL,"[85.3363421, 27.6974229]"
NULL,artwork,navajyotifm882@gmail.com,015100490,http://www.navajyotifm.com.np,"[85.3485921, 27.6777349]"
NULL,attraction,NULL,NULL,NULL,"[85.3485618, 27.7200627]"
New Buddha Guest House,hotel,NULL,NULL,NULL,"[85.3528439, 27.7002082]"
NULL,hotel,sales@greenvalley.com.np,+97716924089,https://greenvalley.com.np/,"[85.3412758, 27.7907015]"
Classic Nepal Hotel,hotel,NULL,NULL,NULL,"[85.3080909, 27.7164572]"
NULL,hostel,NULL,NULL,NULL,"[85.3383466, 27.6941895]"
NULL,hotel,NULL,NULL,NULL,"[85.3099861, 27.6953996]"
NULL,guest_house,NULL,9843703363,NULL,"[85.3807981, 27.7031548]"
NULL,hotel,NULL,NULL,NULL,"[85.307519, 27.7160547]"
NULL,information,NULL,NULL,NULL,"[85.318941, 27.7135251]"
NULL,information,NULL,NULL,NULL,"[85.3618628, 27.720979]"
NULL,hotel,NULL,9804338906,NULL,"[85.350374, 27.7022799]"
NULL,hostel,NULL,NULL,NULL,"[85.3811066, 27.7345526]"
NULL,hostel,NULL,NULL,NULL,"[85.3796197, 27.7346937]"
NULL,guest_house,NULL,NULL,NULL,"[85.3095163, 27.7323439]"
Praful Home,caravan_site,prafulparajuli5@gmail.com,+9779866877113,NULL,"[85.3584291, 27.687117]"
Greatwall Hotel,hotel,NULL,NULL,NULL,"[85.3117136, 27.713469]"
NULL,hostel,NULL,NULL,NULL,"[85.3343329, 27.703746]"
NULL,hotel,NULL,NULL,NULL,"[85.3069215, 27.7026085]"
NULL,hotel,NULL,NULL,NULL,"[85.3076997, 27.7161647]"
NULL,hotel,NULL,014212336,NULL,"[85.3045232, 27.7140787]"
NULL,attraction,info@vape977.com,9851299996,https://www.vape977.com/,"[85.31163, 27.721136]"
NULL,apartment,NULL,NULL,NULL,"[85.3007288, 27.7027599]"
NULL,hotel,NULL,NULL,NULL,"[85.3136993, 27.7217762]"
Mitra Garden Inn,hotel,dbagale55@gmail.com,+977 984-1171095,NULL,"[85.3111753, 27.7155419]"
NULL,apartment,NULL,NULL,NULL,"[85.3309277, 27.7077934]"
NULL,attraction,NULL,NULL,NULL,"[85.3228409, 27.7056025]"
NULL,hotel,NULL,NULL,NULL,"[85.3118628, 27.7181818]"
NULL,guest_house,NULL,NULL,NULL,"[85.3414847, 27.6866992]"
Valley Tourist,guest_house,NULL,NULL,NULL,"[85.3116494, 27.7187701]"
NULL,guest_house,NULL,NULL,NULL,"[85.3640605, 27.7260067]"
NULL,hotel,NULL,+97798065025746,http://www.theglasshousehotel.net,"[85.3091582, 27.7107046]"
Gautam Residence,guest_house,NULL,NULL,NULL,"[85.3233236, 27.7484436]"
NULL,apartment,NULL,NULL,NULL,"[85.3521202, 27.722664]"
NULL,apartment,NULL,NULL,NULL,"[85.3788862, 27.6947046]"
NULL,information,NULL,NULL,NULL,"[85.3160941, 27.7064075]"
NULL,apartment,mission.kathmandu@mofa.gov.bd,43171500,http://www.bangladoot.org.np,"[85.340647, 27.7430643]"
NULL,guest_house,NULL,NULL,NULL,"[85.3605268, 27.7200342]"
NULL,hotel,NULL,NULL,NULL,"[85.358496, 27.7351578]"
NULL,hotel,NULL,NULL,NULL,"[85.311104, 27.6998246]"
NULL,hotel,NULL,014112535,NULL,"[85.350839, 27.7040988]"
Hotel Yala peak,guest_house,NULL,NULL,NULL,"[85.3115664, 27.7123154]"
NULL,apartment,NULL,NULL,NULL,"[85.3056243, 27.7040352]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3180646, 27.6920989]"
NULL,hostel,NULL,+9779803657668,NULL,"[85.3287237, 27.6909103]"
NULL,hotel,NULL,NULL,NULL,"[85.3223923, 27.713608]"
NULL,attraction,NULL,NULL,NULL,"[85.3402447, 27.7014812]"
NULL,hostel,NULL,+9779860413569,https://facebook.com/dreamlandecohostel,"[85.2526433, 27.7263467]"
NULL,attraction,NULL,NULL,NULL,"[85.3579316, 27.7587043]"
NULL,attraction,NULL,NULL,NULL,"[85.3618807, 27.7206893]"
NULL,motel,NULL,NULL,NULL,"[85.3649618, 27.6886918]"
NULL,guest_house,karkibabu@hotmail.com,9841319131,NULL,"[85.2831327, 27.729212]"
NULL,hotel,reservations@amadablamhotel.com,+97714113712; 9851024423,http://www.amadablamhotel.com,"[85.3478661, 27.7055062]"
NULL,hotel,info@sampadagardenhotel.com,014002310,https://www.sampadagardenhotel.com/,"[85.3221221, 27.7270546]"
NULL,hotel,info@sampadagardenhotel.com,+97714002310,https://www.sampadagardenhotel.com/,"[85.3221302, 27.7270363]"
NULL,apartment,manbahadur122@gmail.com,9841288315,NULL,"[85.3504812, 27.7138582]"
Nova Boys Hostel,hostel,NULL,NULL,NULL,"[85.335204, 27.6845236]"
Sabal Khaja Ghar,hotel,NULL,NULL,NULL,"[85.3087723, 27.7125152]"
NULL,hotel,NULL,NULL,NULL,"[85.345761, 27.6856363]"
NULL,guest_house,NULL,NULL,NULL,"[85.3814312, 27.7006174]"
Hotel Nandini,hotel,NULL,01-4473141,NULL,"[85.3526214, 27.7015667]"
NULL,guest_house,NULL,NULL,NULL,"[85.3812841, 27.6990968]"
NULL,apartment,NULL,NULL,NULL,"[85.3275727, 27.7622656]"
NULL,hotel,info@premkhanabhandar.com.np,9841736731,http://premkhanabhandar.com.np,"[85.3119722, 27.7057275]"
NULL,guest_house,NULL,NULL,NULL,"[85.3651271, 27.7227865]"
NULL,guest_house,NULL,NULL,NULL,"[85.3121254, 27.7168193]"
NULL,apartment,NULL,9841792522,NULL,"[85.2494319, 27.6891421]"
NULL,apartment,jayram.kc@gmail.com,9779851001068,http://www.Namaste Apartment.com,"[85.3265841, 27.7200783]"
NULL,attraction,NULL,NULL,NULL,"[85.3697527, 27.7239102]"
NULL,hotel,NULL,NULL,http://ktmgh.com/mayamanorhotel/,"[85.3226575, 27.7133717]"
NULL,attraction,NULL,NULL,NULL,"[85.4055242, 27.7205469]"
NULL,attraction,mrnischallamichhane@gmail.com,015106377,NULL,"[85.3011723, 27.789944]"
NULL,hotel,NULL,9841601313,NULL,"[85.367036, 27.7243043]"
NULL,guest_house,sunmaiguesthouse@yahoo.com,014362038,NULL,"[85.310699, 27.7304959]"
NULL,apartment,NULL,NULL,NULL,"[85.3708471, 27.6923418]"
NULL,hotel,NULL,9801254302,NULL,"[85.2158269, 27.6867237]"
Shreesu,hotel,NULL,NULL,NULL,"[85.3115119, 27.7161779]"
NULL,apartment,NULL,NULL,NULL,"[85.3239797, 27.7473774]"
NULL,apartment,NULL,NULL,NULL,"[85.292134, 27.7519445]"
NULL,guest_house,NULL,NULL,NULL,"[85.3661865, 27.6916387]"
NULL,apartment,NULL,NULL,NULL,"[85.3537149, 27.7389697]"
NULL,apartment,onemannirajan@gmail.com,014913197,NULL,"[85.3695513, 27.7147766]"
NULL,apartment,onemannirajan@gmail.com,9808192122,NULL,"[85.3694759, 27.7147159]"
NULL,hotel,NULL,NULL,NULL,"[85.369559, 27.7315771]"
NULL,guest_house,NULL,NULL,NULL,"[85.3101509, 27.7161512]"
Hotel Pokhara Peace,hotel,omshantiok@yahoo.com,+977014264107,https://www.facebook.com/Pokharapeace/,"[85.3115557, 27.7136266]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3805527, 27.7705412]"
NULL,hotel,NULL,NULL,NULL,"[85.3757709, 27.7160412]"
NULL,hotel,NULL,NULL,NULL,"[85.3116017, 27.7339796]"
NULL,hostel,NULL,NULL,NULL,"[85.3262056, 27.6868293]"
hotel pokhara peace correct location!!,hotel,NULL,NULL,NULL,"[85.3115969, 27.7139083]"
NULL,apartment,NULL,NULL,NULL,"[85.3573186, 27.7342051]"
NULL,camp_site,NULL,NULL,NULL,"[85.3840876, 27.8124123]"
NULL,information,NULL,NULL,NULL,"[85.3493854, 27.7109873]"
NULL,hostel,NULL,NULL,NULL,"[85.3229324, 27.7075256]"
NULL,apartment,NULL,NULL,NULL,"[85.3104906, 27.7225506]"
NULL,apartment,NULL,NULL,NULL,"[85.3191351, 27.7545972]"
NULL,viewpoint,NULL,NULL,NULL,"[85.27629, 27.7478697]"
NULL,attraction,NULL,NULL,NULL,"[85.2832512, 27.6926344]"
NULL,artwork,NULL,NULL,NULL,"[85.3619362, 27.7224151]"
NULL,apartment,leogrg7@gmail.com,NULL,NULL,"[85.2724582, 27.6760959]"
NULL,hotel,NULL,NULL,NULL,"[85.2719648, 27.7152318]"
Tattoo Junction,artwork,NULL,NULL,NULL,"[85.3098824, 27.7149183]"
NULL,apartment,rabig2000@gmail.com,NULL,NULL,"[85.3397944, 27.7060934]"
NULL,attraction,NULL,NULL,NULL,"[85.3110329, 27.7105785]"
NULL,guest_house,NULL,NULL,NULL,"[85.275053, 27.6928999]"
BnB Royal Tourist House,guest_house,NULL,NULL,NULL,"[85.3075831, 27.7177675]"
NULL,attraction,NULL,NULL,NULL,"[85.3430933, 27.6814004]"
Hotel Earth House,guest_house,NULL,NULL,NULL,"[85.3127771, 27.7153057]"
NULL,hotel,NULL,NULL,NULL,"[85.2769461, 27.7266509]"
Hotel,hotel,NULL,NULL,NULL,"[85.4581138, 27.7265506]"
NULL,hotel,NULL,NULL,NULL,"[85.4581196, 27.7264301]"
NULL,guest_house,NULL,NULL,NULL,"[85.2978798, 27.7143563]"
Sakura hotel,hotel,NULL,NULL,NULL,"[85.3117073, 27.7160428]"
Salambu Devi Temple,picnic_site,NULL,NULL,NULL,"[85.4487872, 27.7253659]"
Thamel Chowk,attraction,NULL,NULL,NULL,"[85.3113761, 27.7143416]"
NULL,hostel,NULL,NULL,NULL,"[85.3105347, 27.7202217]"
Star Banquet and Party Palace,viewpoint,NULL,NULL,NULL,"[85.3258502, 27.7165585]"
NULL,hostel,NULL,NULL,NULL,"[85.3581835, 27.7298703]"
Newa Aquarium,aquarium,NULL,NULL,NULL,"[85.3061088, 27.7178715]"
NULL,hotel,NULL,NULL,NULL,"[85.3108487, 27.6946032]"
Alobar1000,hostel,NULL,NULL,NULL,"[85.314336, 27.7156191]"
NULL,apartment,NULL,NULL,NULL,"[85.338625, 27.756178]"
